"Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0.","Total
Sr.N0."
277,68,2356,16171,CELESTIAL PUBLIC SCHOOL,"RAJPUR
(PALAMPUR)",KANGRA,176061,9th-10th,,2025-26,"94180-80088, 01894-238789,
94187-88868",cpsrajpur@gmail.com
278,69,2196,16172,"LITTLE ANGEL MODEL
SCHOOL",LOHARA,KANGRA,176053,9th-10th (c ),,2025-26,"01893-256952, 096255-21819",ajay.jamwal74@gmail.com
279,70,1892,16175,"GREEN VIEW PUBLIC HIGH
SCHOOL",DADH,KANGRA,176052,9th-10th,,2025-26,"98165-21168, 01894-252115","principalgreenviewdadh@gmail.co
m"
280,71,2277,16176,D.R.PUBLIC SCHOOL,NEHRAN PUKHAR,KANGRA,177104,9th-10th (c ),,2025-26,"98055-63655, 94180-63655",drps_npk@rediffmail.com
281,72,1730,16177,"ADARSH SR.SEC.SCHOOL
ABDULLAPUR",ZAMANABAD,KANGRA,176001,9th-10th,,2025-26,"94183-60717,",adarshschool.apur@gmail.com
282,73,2261,16179,SHIVALIK PUBLIC SCHOOL,NAGROTA SURIAN,KANGRA,176027,9th-10th,,2025-26,"98162-14241, 88943-06048",shivapub.s@gmail.com
283,74,2290,16182,"GIAN JYOTI MODEL PUBLIC
SCHOOL",PAISA,KANGRA,177101,9th-10th,,2025-26,"01970-288051,94181-21592,
94181-21592",gjmpspaisa.ps@gmail.com
284,75,2085,16185,"R.D IMMORTAL HEART HIGH
SCHOOL",JAUNTA,KANGRA,176205,9th-10th,,2025-26,70188-20856 94182-46663,nareshkapoor681@gmail.com
285,76,1846,16186,"NEW ERA PUBLIC HIGH
SCHOOL",BILASPUR,KANGRA,176033,9th-10th,,2025-26,"94184-08290,94185-40557,
88942-45207",newera9795@gmail.com
286,77,1845,16187,"GURUKUL PUBLIC HIGH
SCHOOL",BHULLANA,KANGRA,176071,9th-10th,,2025-26,"01894-257806, 98051-06007",gurukulbhullana@gmail.com
287,78,2046,16188,BRIGHTEN PUBLIC SCHOOL,HARSAR DEHRI(PANALTH),KANGRA,176024,9th-10th (C ),,2025-26,"98053-77668, 88945-64947","brightenpublicschool@gmail.co
m"
288,79,2195,16189,"SUMMER HILL PUBLIC
SCHOOL",LODHWAN,KANGRA,176201,9th-10th,,2025-26,"94180-08237, 98166-09841",summerhpschool@gmail.com
289,80,2080,16190,ADHUNIK PUBLIC SCHOOL,JASSUR,KANGRA,176201,9th-10th (C ),,2025-26,"94181-66619,94182-53612",Sushveenpathania@gmail.com
290,81,2134,16192,"SANT RUDRAKSH CONVENT
SCHOOL",KHABBAL(KATHOLI),KANGRA,176027,9th-10th (C ),,2025-26,"94188-83677,98163-23018",srcsmd7@gmail.com
291,82,2045,16196,"HOLLY BLOSSOM PUBLIC
SCHOOL",HARSAR,KANGRA,176023,9th-10th,,2025-26,"88941-31181, 01893-253479",hbpsharsar@gmail.com
292,83,1930,16199,"LITTLE FLOWER PUBLIC
SCHOOL",DHAN,KANGRA,176023,9th-10th,,2025-26,9817342524,singparamjit036@gmail.com
293,84,2382,16202,MILE STONE PUBLIC SCHOOL,SAKOH(DEHRI),KANGRA,176022,9th-10th,,2025-26,"98820-84525, 98823-83169,
98052-12755",mpssakoh@sakoh
294,85,2145,16205,ADHUNIK PUBLIC SCHOOL,KHARAT(BAROH),KANGRA,176054,9th-10th (C ),,2025-26,"94590-74100,01892-259470",aps.baroh@rediffmail.com
295,86,1854,16206,"MONAL AMBIKA
MEMO.PUBLIC SCHOOL",BODH JASSUR,KANGRA,176201,9th-10th,,2025-26,"01893-220126, 94187-84011,
98057-09796",monalambikamemorial@gmail.com
296,87,1883,16207,"SECULAR PUBLIC HIGH
SCHOOL",CHETRU,KANGRA,176209,9th-10th,,2025-26,"98820-95085,94598-47996,
80912-52102",secularschool261@gmail.com
297,88,1834,16208,"A.B.M. PUBLIC HIGH
SCHOOL",BHAWARNA,KANGRA,176083,9th-10th,,2025-26,"01894-247115, 98163-96808",kuldeepchand29121978@gmail.com
298,89,1766,16212,"PT.AMAR NATH S.D.SR.SEC.
PUBLIC SCHOOL",BAIJNATH,KANGRA,176125,9th-10th (C ),,2025-26,98173-34499,schoolamarnath@gmail.com
299,90,2348,16214,"EMINENT PUBLIC HIGH
SCHOOL",RAJIANA(53 MILES),KANGRA,176056,9th-10th (c ),,2025-26,"98163-49050,01892-
267005,98080-08139",ephsrajiana53miles@gmail.com
300,91,2147,16215,"ALPHA PUBLIC HIGH
SCHOOL",KHAROUTH,KANGRA,176064,9th-10th (C ),,2025-26,"98161-77160,01894-207669,
98050-40177",ajaysharma281972@gmail.com
301,92,2036,16217,S.R.M.PUBLIC SCHOOL,HARCHAKIAN,KANGRA,176210,9th-10th,,2025-26,98160-81316 94189-14904,srmpublicschoolhck@hotmail.com
302,93,1939,16218,"HAPPY HOURS PUBLIC
SCHOOL",DHARAMSHALA,KANGRA,176215,9th-10th,,2025-26,9882937317,hhpschool12@gmail.com
303,94,1729,16219,"MODREN K.B.S. PUBLIC
HIGH  SCHOOL  45 MILES",LADWARA,KANGRA,176208,9th-10th (C ),,2025-26,"94186-87755, 94181-42611",kkewal1971@gmail.com
304,95,2184,16222,"CHAMUNDA PUBLIC
SCHOOL",LAHAT,KANGRA,176086,9th-10th,,2025-26,"98163-55366, 98166-16117",chamundapublicschool@gmail.com
305,96,2057,16223,"THE TRIGARTA VELLEY
PUBLIC SCHOOL",ICHHI,KANGRA,176209,9th-10th (c ),,2025-26,"94186-11060,96257-94964",tvpschool@live.com
306,97,1759,16225,"SHAHEED BHAGAT SINGH
PUBLIC SCHOOL",BAGLI,KANGRA,176209,9th-10th,,2025-26,"98826-45405,94599-49199,
98172-43218, 98826-45405",ashokkmr.kumar76@gmail.com
307,98,2199,16226,NEELGIRI PUBLIC SCHOOL,LOWER HATWAS,KANGRA,176047,9th-10th,,2025-26,"98829-80698,94186-
77942,98160-73096",neelgirimohinder@gmail.com
308,99,2047,16227,JAI BHART PUBLIC SCHOOL,HARSI,KANGRA,176091,9th-10th,,2025-26,"98054-14467,94184-19404,
98058-66204",jaibharatschool06@gmail.com
309,100,2021,16228,CEREBRAL PUBLIC SCHOOL,GULER,KANGRA,176033,9th-10th,,2025-26,98163-37824,cerebrelpublicschool@gmail.com
310,101,1762,16232,"SARSWATI VIDYA MANDIR
PUBLIC HIGH SCHOOL",BAIDI,KANGRA,176209,9th-10th (C ),,2025-26,98053-57308,svmBaidi1762@gmail.com
311,102,2051,16237,AASTHA PUBLIC SCHOOL,HATPANG,KANGRA,176022,9th-10th (C ),,2025-26,"98167-16919, 94590-68853",aasthaschoolhatpang@gmail.com
312,103,2405,16241,"NEW MODERN PUBLIC
SCHOOL",SAPERU,KANGRA,176061,9th-10th,,2025-26,"98162-39860,98163-00806",nmphssaperu@gmail.com
313,104,2439,16242,NEW LIGHT PUBLIC SCHOOL,BHATOLI(SOLDHA),KANGRA,176225,9th-10th,,2025-26,"98167-29381,98161-65238,
98055-00708, 98167-71011",nlpssoldha@gmail.com
314,105,1867,16243,"GOLDEN PEARLSONVENT
SCHOOL",CHAKWARI,KANGRA,176051,9th-10th,,2025-26,"98052-16416,89882-96643",goldenpearlssch@gmail.com
315,106,1981,16244,GURUKUL PUBLIC SCHOOL,GANGATH,KANGRA,176204,9th-10th,,2025-26,"98825-20368,01893-275129,
94183-12728",gurukulgangath@gmail.com
316,107,2161,16247,"WORSHIP PUBLIC
SCHOOL(Choukath)",KOPRA,KANGRA,176036,9th-10th,,2025-26,"1970-250050, 98176-42119",wpskopra@gmail.com
317,108,2465,16248,"GEETANJALI DIAMOND
PUBLIC SCHOOL",TAMBER,KANGRA,176095,9th-10th,,2025-26,"94182-91294,86288-91294",gdpstamber@gmail.com
318,109,2518,16249,ANAND MONTESSORI SCHOOL,ZAMANABAD,KANGRA,176001,9th-10th,,2025-26,"70187-08790 ,94183-
34980,88942-77760, 01892-
263100",anandmonterssori@gmail.com
319,110,2206,16251,MANNAN PUBLIC SCHOOL,"MAHAKAL
BAIJNATH",KANGRA,176125,9th-10th,,2025-26,"01894-267237, 94181-50712",mannanpublicschool@gmail.com
320,111,2138,16256,SRI SATHYA SAI EDUCARE VIDYA PRTISHTHAN,KHALUI (KASWA- NARWANA),KANGRA,176052,9th-10th (c ),,2025-26,"94592-59088,94184-87854,
88944-49999",principalsaieducare@gmail.com
321,112,1904,16257,VANSHIKA PUBLIC SCHOOL,DARINI,KANGRA,176206,9th-10th,,2025-26,"96257-59556, 01892-272001,
98161-97781",vanshikapublicschool@gmail.com
322,113,2160,16260,"SHIVA PUBLIC  MODEL
SCHOOL",KOPRA,KANGRA,176202,9th-10th (C ),,2025-26,"82199-18275,98055-87520,
94182-35043",spmskopra21@gmail.com
323,114,2201,16262,SO-AHAM PUBLIC SCHOOL,LOWER KHERA,KANGRA,176086,9th-10th,,2025-26,"94185-76349, 94187-30705",kuljeetvyas.kv@gmail.com
324,115,2367,16264,"RAVINDRANATH TAGORE
PUBLIC SCHOOL","RAINKHA(SEHORPA
IN)",KANGRA,176031,9th-10th,,2025-26,",97364-66367,94590-71476,
98161-41587, 70181-86407",rsrntjmi@gmail.com
325,116,2275,16265,"I.D.MEMO.PUBLIC SR.SEC.
SCHOOL",NARWANA,KANGRA,176052,9th-10th (c ),,2025-26,"98164-12535,01892-
236037,98161-96020",ashasabharwal40@yahoo.com
326,117,1971,16267,ASHA MODEL PUBLIC SCHOOL,GAGHER(DARKATA),KANGRA,176029,9th-10th,,2025-26,"98160-79164,97365-
97969,88940-98303, 82196-
76464",ashaschool3@gmail.com
327,118,2380,16270,"GREEN HILL PUBLIC  HIGH
SCHOOL",SAHOURA BALLA,KANGRA,176001,9th-10th,,2025-26,98165-01982,saini.manish1982@gmail.com
328,119,2330,16273,"D.A.V PUBLIC SCHOOL
SABHA",PURANA KANGRA,KANGRA,176002,9th-10th,,2025-26,"98162-56113,94180-85794",dhimansushil1975@gmail.com
329,120,2401,16274,"SHIKSHA NIKETAN PUBLIC
SCHOOL",SANSAL,KANGRA,176125,9th-10th,,2025-26,"98053-07788,98168-07878,
98165-64683",shikshaniketan4@gmail.com
330,121,2031,16275,PALAMPUR PUBLIC SCHOOL,HANGLOH,KANGRA,176059,9th-10th (C ),,2025-26,98163-29647,ppschool2013@rediffmail.com
331,122,2235,16276,"DHAULADHAR PUBLIC
SCHOOL",MEHARKA,KANGRA,176203,9th-10th,,2025-26,"94187-08388, 97366-98077,
98166-98985",dhauladharm@gmail.com
332,123,2508,16277,"S.K.VISHVA KARMA PUBLIC
SCHOOL","USTEHAR Teshil -
Nagrota bagwan",KANGRA,176056,9th-10th,,2025-26,"98165-64594,98165-35983",sanjaybhatia151076@gmail.com
333,124,2015,16281,"ADARSH  PUBLIC
HIGH.SCHOOL",KOHALA,KANGRA,176001,9th-10th (C ),,2025-26,"01892-265910, 98055-22672",apssschool@gmail.com
334,125,2126,16282,GURUKUL PUBLIC SCHOOL,KASBA KOTLA,KANGRA,177111,9th-10th,,2025-26,"88945-75125, 01970-253538,
94185-32038",gurukulkotla@gmail.com
335,126,2230,16284,"MOUNT VIEW PUBLIC
SCHOOL",MASSAL,KANGRA,176047,9th-10th,,2025-26,"88945-95170, 94189-27605,
82196-00271","mountviewpublicschool01@gmail.c
om"
336,127,2083,16286,MODEL PUBLIC SCHOOL,JATEHAR(GAHLIAN),KANGRA,176029,9th-10th (c ),,2025-26,"98055-38021,98055-38021",jyotipublic school.950@gmail.com
337,128,4743,16287,"ADARSH BHARTI PUBLIC
SCHOOL",DAK,KANGRA,176051,9th-10th,,2025-26,94183-56123,adarshbhartidak@gmail.com
338,129,4745,16288,"SHRI SIDDHI VINAYAK VIDYA
MANDIR SCHOOL",KHADOL,KANGRA,176204,9th-10th,,2025-26,"94187-79520, 98852-36799",ssvvmgangath@gmail.com
339,130,4942,16291,UNIQUE PUBLIC SCHOOL,KALIARA,KANGRA,176209,9th-10th,,2025-26,"94598-47612,88945-33733,
82193-66101",123upskaliara@gmail.com
340,131,4943,16292,FROEBEL PUBLIC SCHOOL,BAROH,KANGRA,176051,9th-10th (C ),,2025-26,"94590-55068,94182-19176",fpsbaroh@gmail.com
341,132,4963,16294,"HELEX CONVENT PUBLIC
SCHOOL",BARCHH,KANGRA,173038,9th-10th (C ),,2025-26,"98165-12236,94180-
61236,01892-268955",hardaljeetsingh1977@gmail.com
342,133,5097,16295,"N.D.MEMORIAL PUBLIC
SCHOOL",KOTLI(BIR),KANGRA,176077,9th-10th (C ),,2025-26,"98171-32485,94185-60273",shridevd80@gmail.com
343,134,5099,16297,S.V.N PUBLIC SCHOOL,THARU BAGGA,KANGRA,176225,9th-10th,,2025-26,"70189-53276, 82194-35204",svnschoolbagga@gmail.com
344,135,5100,16298,HILL VIEW PUBLIC SCHOOL,KUDAIL,KANGRA,176128,9th-10th,,2025-26,94183-24116,deepkatoch@yahoo.com
345,136,5101,16299,"ADARSH BHARTI PUBLIC
SCHOOL",GURCHAL,KANGRA,176202,9th-10th,,2025-26,"94181-85780,86288-45780",gurneshkumar123@gmail.com
346,137,5102,16300,"SIXTH SENSE PUBLIC
SCHOOL",PIHAR,KANGRA,176128,9th-10th (c ),,2025-26,"98170-05987,98826-07360,
88944-23276",sixthsenseps2006@gmail.com
347,138,5160,16302,SARSWATI VIDYA NIKETAN,SHANTLA,KANGRA,177034,9th-10th,,2025-26,"70183-22374,98163-08292",svn1560@gmail.com
348,139,5105,16303,"GREEN CASTLE PUBLIC
SCHOOL",SIDHPUR GHAR,KANGRA,176021,9th-10th,,2025-26,"98164-80288, 88946-41488",gcpssidhpurghar@gmail.com
349,140,5104,16304,"RAMESHWER SHIV MODEL
SCHOOL",BASSA AT KATORA,KANGRA,176027,9th-10th,,2025-26,98056-18319,rsmodelschool3@gmail.com
350,141,5106,16305,"LITTLE ANGEL MODEL
SCHOOL",MAND MANJWAH,KANGRA,176403,9th-10th,,2025-26,82787-87612,"littleangelmodelschool.hp@gmail.co
m"
351,142,5107,16306,"MAA DURGA SARSWATI
VIDYA MANDIR",INDPUR,KANGRA,176407,9th-10th (C ),,2025-26,98820-80997,mdssindpur@gmail.com
352,143,5221,16309,"BHARAT MODEL PUBLIC
SCHOOL",GHAROH,KANGRA,176215,9th-10th,,2025-26,86289-56028,bharatmodal0@gmail.com
353,144,5222,16310,SADWAN PUBLIC SCHOOL,SADWAN,KANGRA,176202,9th-10th,,2025-26,9857379069,s.p.s.sadwan@gmail.com
354,145,5223,16311,"DIVINE SCHOLARS CONVENT
SCHOOL",JAWALI,KANGRA,176023,9th-10th (C ),,2025-26,"01893262300, 9805450444",divinescholars348@gmail.com
355,146,5253,16313,"SUNSHINE INTERNATIONAL
SCHOOL","LANGHU ROAD
BAIJNATH",KANGRA,176125,9th-10th,,2025-26,"01894-26333, 98821-99900",amitjas.in@gmail.com
356,147,5260,16314,"NEW DHAULADHAR PUBLIC
SCHOOL",CHOWKI KHALET,KANGRA,176061,9th-10th,,2025-26,82639-99992,ndps.172@gmail.com
357,148,5473,16316,SHIVA PUBLIC SCHOOL,BEHI-PATHIAR,KANGRA,176205,9th-10th (c ),,2025-26,9716131691,spsbethipathiar@gmail.com
358,149,5474,16317,SAINT RUDRAKSH CONVENT SCHOOL,BAROT,KANGRA,176022,9th-10th,,2025-26,98051-98285,"saintrudraksh.conventschool@g
mail.com"
359,150,5297,16319,SAFFRON CITY SCHOOL,PARAGPUR,KANGRA,177107,9th-10th (C ),,2025-26,"98052-53595, 94180-86644",vbvishal100@gmail.com
360,151,5464,16320,ORCHID INTERNATIONAL SCHOOL,KAKROH,KANGRA,176208,9th-10th (C ),,2025-26,"70184-26857, 85807-75589","orchidinternational.gaggal@gmai
l.com"
361,152,5301,16321,SHAHEED BABU RAM MEMORIAL PUBLIC SCHOOL,MOCH,KANGRA,176053,9th-10th,,2025-26,"86290-58163, 94590-67942",kamal2081991@gmail.com
362,153,5475,16322,THE TAGORE PUBLIC MODEL HIGH SCHOOL,SUNHI,KANGRA,176037,9th-10th (C ),,2025-26,"88942-14649, 82198-80549",sanjaydavkoo9933@gmail.com
363,154,5476,16323,VEENA MEMORIAL VIKAS PUBLIC SCHOOL,SURAJPUR,KANGRA,176403,9th-10th,,2025-26,9872642172,"vmvpublicschoolsurajpur@gmail.
com"
364,155,5478,16324,"MAHARISHI VIDYA MANDIR
PUBLIC SCHOOL",RAKKAR,KANGRA,177043,9th-10th,,2025-26,94181-82909,mvmnadaun1@gmail.com
365,156,5479,16325,"LITTLE FLOWER SANSKAR
HIGH SCHOOL",GARLI,KANGRA,177108,9th-10th (C ),,2025-26,9459060883,lfpps903@gmail.com
366,157,5511,16326,RANU PUBLIC SCHOOL,BODAR BALLA,KANGRA,176001,9th - 10th,,2025-26,9805918937,kamit0621@gmail.com
367,158,5512,16327,"BADUKHAR PUBLIC
SCHOOL",BADUKHAR,KANGRA,176058,9th - 10th (c ),,2025-26,8219965784,soniyaguleria300@gmail.com
368,159,5499,16328,"SHRI SALIG RAM PUBLIC
SCHOOL",KAROA,KANGRA,177103,9th - 10th,,2025-26,9418761269,srpskaroa@gmail.com
369,160,5500,16329,SUNRISE PUBLIC SCHOOL,DHALOON,KANGRA,176056,9th - 10th (c ),,2025-26,9816155181,spschool1979@gmail.com
370,161,5501,16330,"HIM JAWALA CONVENT
SCHOOL",JAWALI,KANGRA,176023,9th - 10th,,2025-26,7807250058,amandutch12@gmail.com
371,162,5298,16331,"KESHVAM UPNISHAD
VIDYALYA",DHANOTU,KANGRA,176208,9th-10th,,2025-26,"98169-32133, 70182-34760",kumarsurjinder2002@gmail.com
372,163,5502,16332,"ANGLO INDIAN PUBLIC
SCHOOL",LAMBAGAON,KANGRA,176096,9th - 10th,,2025-26,9313512224,aipsnew2015@gmail.com
373,164,5513,16333,HOLLYHOCK INTERNATIONAL SCHOOL,JHIKLI BAROL,KANGRA,176057,9th - 10th,,2025-26,7018833451,hollyhockdharamshala@gmail.co m
374,165,5528,16334,"BRILLIANT HEIGHT PUBLIC
SCHOOL",DARANG,KANGRA,176031,9th - 10th,,2025-26,9736173030,sharma.nitinjmi@gmail.com
375,166,1914,17001,"SMT. I.G.M.P
SR.SEC.SCHOOL",DEHRA,KANGRA,177101,9th-+2(Arts/Sci/Comm),,2025-26,"01970-233434,98164-68746",igmpdchooldhera@gmail.com
376,167,1769,17002,"GURUKUL PUBLIC
SR.SEC.SCHOOL",BAIJNATH,KANGRA,176125,9th-+2(Arts/Sci/Comm),,2025-26,"01894-262882, 94180-56446",principal.gurukul93@gmail.com
377,168,1767,17003,"AMBIKA PUBLIC SR.SEC.SCHOOL GANESH
BAZAR",BAIJNATH,KANGRA,176125,9th-+2(Arts/Comm),,2025-26,"01894-263756,94183-55058",aps.baijnath@gmail.com
378,169,2038,17005,"B.B.M.PUBLIC SR.SEC.
PUBLIC SCHOOL INDIRA COLONY",HARIPUR,KANGRA,176028,9th-10th,,2025-26,"94182-47803,86269-
83011,01970-265004",bbmpsharipur86@gmail.com
379,170,2362,17008,"HANS RAJ MEMO.MODEL
SR.SEC.SCHOOL",REHAN,KANGRA,176022,9th-+2(Arts/Sci/Comm),,2025-26,"01893-252469, 94184-92469",ramverma41@gmail.com
380,171,1789,17009,"MODREN PUBLIC
SR.SEC.SCHOOL",BANURI,KANGRA,176061,9th-+2(Arts/Comm),,2025-26,"01894-233055,98163-81573,",mpsbanuri@gmail.com
381,172,2289,17010,HIM PUBLIC SR.SEC.SCHOOL,PAHARA,KANGRA,176087,9th-+2(Arts/Sci/Comm) (C ),,2025-26,"01894-225652, 94188-77383",himpublicsrsecschool@gmail.com
382,173,1756,17011,"AIM ACADEMY SR. SEC.
SCHOOL","BAG-KULJAIN
(JAISINGHPUR)",KANGRA,176095,9th-+2 (Sci/Com/Arts),,2025-26,"98162-06336,98576-74176",aimacademy04@gmail.com
383,174,2297,17013,"SHIVALIK RADIANCE
SR.SEC.SCHOOL",PANCHRUKHI,KANGRA,176103,9th-+2(Arts/Sci/Comm)  (C ),,2025-26,"98160-90990, 94590-79819",shivalikradiance@gmail.com
384,175,2074,17015,"MODREN PUBLIC
SR.SEC.SCHOOL",JANDPUR,KANGRA,176081,9th-+2(Arts/Sci/Comm),,2025-26,80913-33050,mpsjandpur@gmail.com
385,176,2287,17016,A.V.M. SR.SEC.SCHOOL,PAHARA,KANGRA,176087,"9th-+2(Arts/Sci/Comm) ) (c
)",,2025-26,"01894-255580,94181-61864",avm_pahra2@rediffmail.com
386,177,1870,17017,DAV PUBLIC SCHOOL,CHALWARA,KANGRA,176023,9th-+2(Sci.),,2025-26,85447-23822,dayanandadarsh@gmail.com
387,178,2062,17018,PUBLIC SR.SEC.SCHOOL,INDPUR,KANGRA,176401,9th-+2(Arts/Comm),,2025-26,"01893-241505,98165-10755",psssindpur95@gmail.com
388,179,2013,17019,"N.K.S.D.CHAND PUBLIC
SR.SEC.SCHOOL",GHUGHAR,KANGRA,176061,9th-+2(Sci/Com),,2025-26,"01894-232118, 98169-30306",chandpublic232118@gmail.com
389,180,2314,17020,"G.A.SR.SEC.SCHOOL(MANG
WAL)",PATTA JATIAN,KANGRA,176021,9th-12th (Arts),,2025-26,"94182-90132, 91294-81879",pattajatian1974@gmail.com
390,181,2323,17023,ADRASH SR SEC.SCHOOL,PRAGPUR,KANGRA,177101,9th-+2 (Sci/Com)  (C ),,2025-26,"01970-246583, 98164-19190",assspragpur@gmail.com
391,182,2034,17024,"KANGRA INTERNATIONAL
SCHOOL",HARA (SHAHPUR),KANGRA,176206,9th-+2(Sci/Comm),,2025-26,"01892-238108,96259-78102",spsharashahpur@rediffmail.com
392,183,2102,17025,"DHAR PUBLIC
SR.SEC.SCHOOL",KAILASHPUR,KANGRA,176076,9th-+2(Com)  (c ),,2025-26,"01894-251248, 94181-37827,
82197-18703",dpssskailashpur@gmail.com
393,184,1776,17027,"HIMACHAL PUBLIC
SR.SEC.SCHOOL",BALARDU,KANGRA,176031,9th-+2(Arts/Sci/Comm) (C ),,2025-26,94183-38132,h.p.s.s.s.balardu@gmail.com
394,185,1882,17029,"PARAGON MODEL
SR.SEC.SCHOOL",CHETRU,KANGRA,176209,9th-+2(Arts),,2025-26,"01892-232465,94188-41400,
94185-13605",Pms1988@rediffmail.com
395,186,2299,17031,SHIVALIK SR.SEC.SCHOOL,PANJAHRA,KANGRA,176051,9th-+2(Arts/Sci/Comm) (C ),,2025-26,"01893-274444,94180-73444",shivalik.panjahra@gmail.com
396,187,2315,17035,"PRIYA DARSHINI MODREN
PUBLIC SR.SEC.SCHOOL",PATTI,KANGRA,176061,"9th-+2 (Arts/Sci/Comm)  (C
)",,2025-26,"01894-266888, 98576-77077",rocky.priyadarshan@gmail.com
397,188,2293,17036,ST.PAUL' S  SR.SEC.SCHOOL,PALAMPUR,KANGRA,176061,9th-+2(Arts/Sci/Comm),,2025-26,"9816061961, 70181-52118,
94188-84480",stpaulsschool.palampur@gmail.com
398,189,2466,17040,"SHANTI NIKETAN PUBLIC
SR.SEC.SCHOOL",TANDA PALAMPUR,KANGRA,176061,9th-+2(Arts),,2025-26,"88942-93906,82193-50620
,88940-54140",shantiniketanschool@gmail.com
399,190,1802,17042,"SHAHID BABA SINGH PUBLIC
SR.SEC.SCHOOL",BAROT,KANGRA,176022,9th-+2(Arts),,2025-26,70186-01156,sbspsssbarot@gmail.com
400,191,2012,17043,"SPECTRUM PUBLIC
SR.SEC.SCHOOL","GHUGAR
PALAMPUR",KANGRA,176061,9th-12(Arts/Sci/Comm),,2025-26,"9418218952, 7018197336",spectrumprincipal@gmail.com
401,192,2111,17045,"SWAMI VIVEKA NAND
SR.SEC. SCHOOL",KANDRORI,KANGRA,176402,9th-+2(Arts/Sci/Comm) (C ),,2025-26,"98721-07900,01893-209527,
98156-19111",bhanot.pankaj@gmail.com
402,193,1937,17047,"RAINBOW PUBLIC SR.SEC.
SCHOOL","DHARAMMAN(SUN
GAL)",KANGRA,176061,9th-12th(ARTS) (C ),,2025-26,"98823-73502, 94592-84279,
94599-08082",rainbowskul2014@gmail.com
403,194,1999,17049,N.K.PUBLIC SR.SEC.SCHOOL,GHAR,KANGRA,176103,9th-+2(Arts/Comm)  (c ),,2025-26,"94188-77817,98578-35700",nksssghar@gmail.com
404,195,2244,17050,"ELITE INTERNATIONAL
CONVENT SR.SEC. SCHOOL",MUHAL,KANGRA,177117,9th-+2(Arts/Sci/Comm),,2025-26,"01970-275455, 94180-88462",eliteeducation99@gmail.com
405,196,2058,17052,LOTUS SR.SEC.PUBLIC SCHOOL,INDORA,KANGRA,176401,9th-12th (Sci/Comm),NOC FOR CBSE,2025-26,"98829-59999,
98160-88212, 01893-242266,
98884-02402",lps.indora@gmail.com
406,197,1922,17053,"PUBLIC MODEL
SR.SEC.SCHOOL","DEOTHI AT
BADUKHAR",KANGRA,176058,9th-+2(Arts/Sci),,2025-26,"01893-257562, 98168-96354",shivdev055@gmail.com
407,198,2056,17055,"MOUNT VIEW PUBLIC
SR.SEC. SCHOOL",ICHHI,KANGRA,176209,9th-+2(Sci ),,2025-26,"01892-232409,92184-
32409,94180-32409",mountviewschool2013@gmail.com
408,199,2514,17056,"AJEET MEMO.DHAULADAR
PUBLIC SR.SEC.SCHOOL",YOL CANTT.,KANGRA,176052,9th-+2(Sci),,2025-26,"94186-11700,01892-236273,
98164-88515",amdpsyol@rediff.com
409,200,2482,17057,PUBLIC SR.SEC. SCHOOL,THORA,KANGRA,176201,9th-+2(Arts/Sci/Comm),,2025-26,74184-00006,psssthora4202@gmail.com
410,201,2339,17059,V.N.M. SR.SEC.SCHOOL,RAJA KA TALAB,KANGRA,176051,9th-+2(Arts/Sci/Comm),,2025-26,"98168-70008, 94183-19193",vnmsssrkt@gmail.com
411,202,2426,17069,"KANGRA VALLEY
SR.SEC.SCHOOL",SHILA CHOWK,KANGRA,176057,9th-+2(Arts/Sci/Comm),,2025-26,98160-70296,kvsdharamshala@gmail.com
412,203,1941,17071,GURUKUL SR.SEC.SCHOOL,DHARAMSHALA,KANGRA,176215,9th-+2(Sci.),,2025-26,"01892-223508, 223508,94180-
85963",gurukul31@yahoo.com
413,204,2257,17076,"HIMALYAN PUBLIC
SR.SEC.SCHOOL","NAGROTA
BAGWAN",KANGRA,176047,9th-+2(Arts/Sci/Comm) (C ),,2025-26,"01892-250514,94181-43473,
70185-05775",principal@himalyanpublicschool.in
414,205,1835,17081,"NEUGAL MODEL PUBLIC
SR.SEC. SCHOOL",BHAWARNA,KANGRA,176083,9th-+2(Arts/Sci/Comm),,2025-26,9818228554,"neugalpublicsrsecschool@gmail.co
m"
415,206,1755,17083,B.K.PUBLIC SR.SEC. SCHOOL,"BAG KULJAN
(JAISINGPUR",KANGRA,176095,9th-+2(Sci/Comm) (c ),,2025-26,"98056-40040, 98161-66820",bkpsss@gmail.com
416,207,1907,17086,"SHIV SHAKTI PUBLIC SR.SEC.
SCHOOL",DARYARI,KANGRA,176401,9th-+2(Arts),,2025-26,"98167-02943, 94592-05853",shivshaktidaryari@rediffmail.com
417,208,1887,17087,"ISHU MODEL SR SEC
SCHOOL",CHHATTAR,KANGRA,176022,9th-12th (Arts/Comm/Sci),,2025-26,"01893-251299,98167-94854","ishumodelschoolchhattar@gmail.co
m"
418,209,2231,17091,"THAKUR KANSHI RAM
MEM.SR.SEC.SCHOOL",MASTPUR(CHETRU),KANGRA,176209,9th-+2(Sci./Comm.),,2025-26,"94181-30690, 232342","th.kanshi_ram_mem_sss@yahoo.co
.in"
